,time,avg,replicas,for pod
0,1672491843230.346,74.13359700000001,2,"[24.119883, 50.013714]"
1,1672491858385.2258,65.239292,2,"[15.355472, 49.88382]"
2,1672491873552.3955,70.29460900000001,2,"[20.055315, 50.239294]"
3,1672491888711.0361,70.684778,2,"[20.929859, 49.754919]"
4,1672491903864.492,82.100428,2,"[32.431656, 49.668772]"
5,1672491919019.9878,69.5835,2,"[20.097162, 49.486338]"
6,1672491934166.2036,74.399602,2,"[24.278836, 50.120766]"
7,1672491949320.8772,72.257075,2,"[22.27034, 49.986735]"
8,1672491964465.9792,66.640518,2,"[16.901019, 49.739499]"
9,1672491979620.0908,63.719624,2,"[14.078943, 49.640681]"
10,1672491994776.0962,73.852424,2,"[23.290219, 50.562205]"
11,1672492009946.3987,69.86308199999999,2,"[19.300877, 50.562205]"
12,1672492025102.134,81.216342,2,"[31.447484, 49.768858]"
13,1672492040244.5476,74.283823,2,"[24.103687, 50.180136]"
14,1672492055400.9192,76.229105,2,"[27.45294, 48.776165]"
